General : Specimen number (included),1,,,
Specimen choice input : Material,<None>,,,
Specimen properties : Geometry,Rectangular,,,
Specimen properties : Length,50,mm,,
Specimen properties : Thickness,3.06,mm,,
Specimen properties : Width,11.6,mm,,
Specimen properties : Area,35.496,mm^2,,
Specimen properties : Final length,50,mm,,
Specimen properties : Final thickness,3,mm,,
Specimen properties : Final width,12,mm,,
Specimen properties : Final area,36,mm^2,,
,,,,
Time,Extension,Load,Tensile strain (Strain 1),Tensile stress
(s),(mm),(N),(mm/mm),(MPa)
10.6,0.88353,5544.08008,0.00783,156.18887
10.8,0.90022,5563.3335,0.00801,156.73129
11,0.91682,5577.82422,0.00819,157.13953
11.2,0.93352,5594.09619,0.00837,157.59795
11.4,0.95012,5610.61768,0.00855,158.06339
11.6,0.96679,5626.76953,0.00872,158.51842
11.8,0.98351,5643.41895,0.0089,158.98747
12,1.00017,5659.01025,0.00908,159.42671
12.2,1.01681,5673.45947,0.00926,159.83377
12.4,1.03347,5690.15723,0.00943,160.30418
12.6,1.05023,5705.27051,0.00961,160.72997
12.8,1.06686,5719.521,0.00979,161.13142
13,1.08349,5736.24609,0.00997,161.60262
13.2,1.10013,5747.99561,0.01014,161.93362
13.4,1.11685,5767.78125,0.01031,162.49103
13.6,1.13346,5780.5625,0.01049,162.8511
13.8,1.15015,5795.21143,0.01066,163.26379
14,1.16684,5812.58594,0.01084,163.75328
14.2,1.18348,5823.89111,0.01102,164.07176
14.4,1.20017,5841.18359,0.0112,164.55893
14.6,1.21684,5855.79883,0.01137,164.97067
14.8,1.23356,5868.75488,0.01155,165.33568
15,1.2502,5883.92871,0.01173,165.76315
15.2,1.26683,5896.99902,0.01191,166.13138
15.4,1.28346,5912.14355,0.01208,166.55803
15.6,1.30016,5928.09033,0.01226,167.00728
15.8,1.31679,5939.97217,0.01243,167.34203
16,1.33349,5951.31396,0.01261,167.66154
16.2,1.35015,5968.63721,0.01278,168.14958
16.4,1.36687,5981.88818,0.01296,168.52289
16.6,1.38351,5997.44531,0.01314,168.96117
16.8,1.40017,6008.65137,0.01331,169.27687
17,1.41699,6023.62109,0.01349,169.69859
17.2,1.43344,6035.81836,0.01367,170.04222
17.4,1.4501,6049.33789,0.01384,170.4231
17.6,1.4668,6064.4541,0.01402,170.84895
17.8,1.48349,6076.68457,0.0142,171.19351
18,1.50022,6089.66211,0.01437,171.55911
18.2,1.51682,6102.79492,0.01455,171.92909
18.4,1.53354,6116.87549,0.01472,172.32578
18.6,1.55015,6128.73682,0.0149,172.65994
18.8,1.56681,6142.56836,0.01507,173.04961
19,1.58351,6150.58838,0.01525,173.27554
19.2,1.60017,6165.91748,0.01541,173.7074
19.4,1.61674,6179.17725,0.01559,174.08095
19.6,1.6335,6192.35645,0.01576,174.45224
19.8,1.65013,6205.87158,0.01594,174.83299
20,1.66683,6216.18311,0.01611,175.12349
20.2,1.68352,6230.74756,0.01629,175.5338
20.4,1.70009,6242.42432,0.01646,175.86276
20.6,1.71691,6254.77734,0.01664,176.21077
20.8,1.73348,6266.68945,0.01681,176.54637
21,1.75018,6278.44385,0.01698,176.87752
21.2,1.76687,6291.32764,0.01716,177.24048
21.4,1.78357,6304.28125,0.01734,177.60541
21.6,1.80011,6313.84717,0.01751,177.87489
21.8,1.8168,6328.2417,0.01769,178.28043
22,1.83344,6339.2749,0.01786,178.59125
22.2,1.85022,6348.44824,0.01803,178.84969
22.4,1.86677,6362.49268,0.0182,179.24535
22.6,1.88346,6374.0874,0.01837,179.57201
22.8,1.9003,6387.80615,0.01854,179.95848
23,1.91679,6395.35938,0.01872,180.17128
23.2,1.93351,6407.48535,0.01889,180.51289
23.4,1.95018,6420.26221,0.01906,180.87285
23.6,1.96678,6430.22803,0.01924,181.15361
23.8,1.9835,6442.99609,0.01941,181.51331
24,2.00008,6453.67432,0.01958,181.81413
24.2,2.01686,6466.80371,0.01976,182.18402
24.4,2.03353,6475.67529,0.01993,182.43396
24.6,2.0501,6487.39941,0.0201,182.76425
24.8,2.06685,6498.26318,0.02028,183.0703
25,2.08355,6509.51709,0.02045,183.38734
25.2,2.10012,6519.25781,0.02062,183.66177
25.4,2.11688,6531.85938,0.02079,184.01678
25.6,2.13345,6536.71484,0.02096,184.15356
25.8,2.15017,6546.42188,0.02113,184.42703
26,2.16684,6564.12256,0.02129,184.9257
26.2,2.18344,6572.83447,0.02146,185.17114
26.4,2.20023,6585.22607,0.02164,185.52023
26.6,2.2168,6594.37793,0.02181,185.77806
